gender,total_words,theme,theme_keyword_count,theme_keyword_normalized_term_frequency,theme_cSFIDF,id
men,1147851,Characterization,16031,0.013966098387334244,0.42752613293973835,bootstrap 4
men,1147851,Clothing/Makeup/Appearance ,1664,0.0014496655053661146,0.22578228956249957,bootstrap 4
men,1147851,Drugs and Addiction,6536,0.005694118835981325,0.36252664573348603,bootstrap 4
men,1147851,Emotions,2457,0.0021405217227671537,0.26035957197335663,bootstrap 4
men,1147851,Explicit Reference to Defendant’s Gender ,1849,0.0016108362496526118,0.22956309380983253,bootstrap 4
men,1147851,Figurative/Metaphorical Language,1518,0.001322471296361636,0.2052963483081705,bootstrap 4
men,1147851,Gender and Gender Roles,7722,0.006727353985839625,0.3495796308280574,bootstrap 4
men,1147851,Immigration,3011,0.0026231627624142854,0.27197121379311834,bootstrap 4
men,1147851,Intimate Partner Relationships,2862,0.0024933549737727284,0.2743672489824827,bootstrap 4
men,1147851,Mental Health/Mental Disability,16842,0.014672636082557753,0.4668771818681593,bootstrap 4
men,1147851,Parenting Language,39632,0.03452712939222948,0.5286894345359944,bootstrap 4
men,1147851,Racial Tropes,2118,0.0018451872237773021,0.24318466458735388,bootstrap 4
men,1147851,Religion ,1561,0.001359932604493092,0.2201279263140073,bootstrap 4
men,1147851,Sexual Language,5513,0.0048028881797376145,0.3268988118519756,bootstrap 4
men,1147851,Sexuality,102,8.886170766066328e-05,0.07653479834257328,bootstrap 4
men,1147851,Socioeconomic Status/Spending/Poverty,1988,0.0017319321061705743,0.23014998625155658,bootstrap 4
men,1147851,Testimony re Gender-Based Violence ,4479,0.003902074398157949,0.31688282038102206,bootstrap 4
men,1147851,Women’s Non-Domestic Work,2631,0.0022921093417176967,0.2638259017104397,bootstrap 4
women,2786088,Characterization,38231,0.013722107844404053,0.4237751946551577,bootstrap 4
women,2786088,Clothing/Makeup/Appearance ,3579,0.0012845968971547201,0.21253937764000944,bootstrap 4
women,2786088,Drugs and Addiction,9716,0.0034873270334605366,0.2837089311943128,bootstrap 4
women,2786088,Emotions,4645,0.0016672122345022843,0.22977838539816475,bootstrap 4
women,2786088,Explicit Reference to Defendant’s Gender ,4625,0.0016600337103494219,0.2330423363524739,bootstrap 4
women,2786088,Figurative/Metaphorical Language,5458,0.0019590192413161396,0.24986616312365725,bootstrap 4
women,2786088,Gender and Gender Roles,20394,0.007319941078673753,0.3646513047444882,bootstrap 4
women,2786088,Immigration,6756,0.002424905458836907,0.26149158999598965,bootstrap 4
women,2786088,Intimate Partner Relationships,5253,0.0018854393687493,0.23858684707188507,bootstrap 4
women,2786088,Mental Health/Mental Disability,25736,0.00923732487990329,0.37044324920615657,bootstrap 4
women,2786088,Parenting Language,81742,0.02933934606516377,0.48735520660532633,bootstrap 4
women,2786088,Racial Tropes,4747,0.0017038227076818823,0.23368356318192848,bootstrap 4
women,2786088,Religion ,3480,0.0012490632025980515,0.21096414820393716,bootstrap 4
women,2786088,Sexual Language,12235,0.004391462150513552,0.31258395101945396,bootstrap 4
women,2786088,Sexuality,484,0.00017372028449926923,0.10701062012082124,bootstrap 4
women,2786088,Socioeconomic Status/Spending/Poverty,5842,0.002096846905051097,0.25323800480617115,bootstrap 4
women,2786088,Testimony re Gender-Based Violence ,7921,0.00284305449074114,0.2704852042362882,bootstrap 4
women,2786088,Women’s Non-Domestic Work,5355,0.0019220498419288982,0.24159174366210018,bootstrap 4
men,1145163,Characterization,14984,0.013084600183554656,0.41574743374088385,bootstrap 5
men,1145163,Clothing/Makeup/Appearance ,1698,0.0014827583496847174,0.22671214482583793,bootstrap 5
men,1145163,Drugs and Addiction,6645,0.005802667393200793,0.3638394487885946,bootstrap 5
men,1145163,Emotions,2218,0.0019368421787990006,0.24894821159351635,bootstrap 5
men,1145163,Explicit Reference to Defendant’s Gender ,1694,0.0014792653971530691,0.21931882477893616,bootstrap 5
men,1145163,Figurative/Metaphorical Language,1677,0.0014644203488935635,0.21514358936811134,bootstrap 5
men,1145163,Gender and Gender Roles,7590,0.006627877428802712,0.3473654574692636,bootstrap 5
men,1145163,Immigration,3200,0.0027943620253186663,0.2806407099443943,bootstrap 5
men,1145163,Intimate Partner Relationships,2498,0.002181348856014384,0.2570176987838718,bootstrap 5
men,1145163,Mental Health/Mental Disability,17556,0.015330568661404535,0.47230586275929043,bootstrap 5
men,1145163,Parenting Language,38608,0.03371397783546971,0.5216438474982865,bootstrap 5
men,1145163,Racial Tropes,2151,0.0018783352238938911,0.24525331744634077,bootstrap 5
men,1145163,Religion ,1701,0.0014853780640834537,0.22868700950076817,bootstrap 5
men,1145163,Sexual Language,5352,0.00467357048734547,0.3198588085027399,bootstrap 5
men,1145163,Sexuality,109,9.518295648741707e-05,0.0778370621055202,bootstrap 5
men,1145163,Socioeconomic Status/Spending/Poverty,1942,0.0016958284541152657,0.22901851290173114,bootstrap 5
men,1145163,Testimony re Gender-Based Violence ,4074,0.0035575721534838274,0.3028416132469556,bootstrap 5
men,1145163,Women’s Non-Domestic Work,2520,0.0022005600949384497,0.2590788124382213,bootstrap 5
women,2791139,Characterization,38376,0.013749225674536453,0.4261754898009817,bootstrap 5
women,2791139,Clothing/Makeup/Appearance ,3776,0.0013528527242820942,0.2165533251943206,bootstrap 5
women,2791139,Drugs and Addiction,10081,0.0036117871592923176,0.2870496495891196,bootstrap 5
women,2791139,Emotions,4683,0.0016778096683826924,0.23170384458670926,bootstrap 5
women,2791139,Explicit Reference to Defendant’s Gender ,4898,0.0017548391534782037,0.23887545027621881,bootstrap 5
women,2791139,Figurative/Metaphorical Language,5468,0.001959056858150024,0.24883934690784934,bootstrap 5
women,2791139,Gender and Gender Roles,20410,0.00731242693395062,0.36486328593710804,bootstrap 5
women,2791139,Immigration,6585,0.0023592519039718194,0.25786743007903645,bootstrap 5
women,2791139,Intimate Partner Relationships,5554,0.0019898686521882284,0.24547805453143604,bootstrap 5
women,2791139,Mental Health/Mental Disability,26815,0.009607189036447127,0.37388872809714657,bootstrap 5
women,2791139,Parenting Language,83390,0.029876691916812456,0.491060888609076,bootstrap 5
women,2791139,Racial Tropes,4735,0.0016964400554755604,0.23307602261701152,bootstrap 5
women,2791139,Religion ,3526,0.0012632835555663835,0.21089846256122358,bootstrap 5
women,2791139,Sexual Language,13104,0.004694857547402691,0.3205864232988978,bootstrap 5
women,2791139,Sexuality,566,0.00020278459797236898,0.11361203093167059,bootstrap 5
women,2791139,Socioeconomic Status/Spending/Poverty,5652,0.002024979766324787,0.25025915588504594,bootstrap 5
women,2791139,Testimony re Gender-Based Violence ,8277,0.002965456037839749,0.2764931889815787,bootstrap 5
women,2791139,Women’s Non-Domestic Work,5373,0.001925020574038054,0.24231648960404675,bootstrap 5
men,1148945,Characterization,15805,0.013756097985543258,0.4244607848695659,bootstrap 6
men,1148945,Clothing/Makeup/Appearance ,1600,0.0013925818903428797,0.22003369242610776,bootstrap 6
men,1148945,Drugs and Addiction,7029,0.006117786317012564,0.37404461995269656,bootstrap 6
men,1148945,Emotions,2283,0.0019870402847829965,0.25010465811630633,bootstrap 6
men,1148945,Explicit Reference to Defendant’s Gender ,1776,0.0015457658982805966,0.22260573975240588,bootstrap 6
men,1148945,Figurative/Metaphorical Language,1625,0.0014143409823794873,0.21167077218772345,bootstrap 6
men,1148945,Gender and Gender Roles,7896,0.0068723916288421115,0.3511543897039506,bootstrap 6
men,1148945,Immigration,3081,0.0026815905025915077,0.2747980566569645,bootstrap 6
men,1148945,Intimate Partner Relationships,2567,0.0022342235703188577,0.26147311730990047,bootstrap 6
men,1148945,Mental Health/Mental Disability,16784,0.014608184029696809,0.46698321713975693,bootstrap 6
